team,year,won,lost,tied,UNITID,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,PFTFAC,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF
Alabama,2022,11.0,2.0,0.0,100663,12776.0,0.513,0.2528,0.0711,0.0819,0.8668,1291.0,24.0,0.8243,0.6442,8832.0,21216.0,11837.0,0.7533,1200.0,13120.0,14330.0,5757.0,6007.0
Alabama,2021,13.0,2.0,0.0,100663,13284.0,0.5297,0.2458,0.0669,0.0767,0.8854,1266.0,27.0,0.8392,0.6245,8568.0,20400.0,11590.0,0.7564,1200.0,12307.0,12307.0,5555.0,5555.0
Alabama,2020,13.0,0.0,0.0,100663,13549.0,0.5496,0.2401,0.061,0.0704,0.806,1245.0,26.0,0.864,0.6122,8568.0,20400.0,11380.0,0.7619,1200.0,12307.0,12307.0,5555.0,5555.0
Alabama,2019,11.0,2.0,0.0,100663,13328.0,0.5586,0.2414,0.0565,0.0678,0.7366,1234.0,26.0,0.831,0.634,8568.0,20400.0,11049.0,0.7754,1200.0,12307.0,12307.0,5555.0,5555.0
Alabama,2018,14.0,1.0,0.0,100663,13186.0,0.5717,0.2553,0.0334,0.0633,0.9211,1220.0,25.0,0.8186,0.5829,8568.0,19704.0,10717.0,0.7766,1200.0,11682.0,11682.0,4886.0,4886.0
Alabama,2017,13.0,1.0,0.0,100663,12866.0,0.5784,0.2585,0.0333,0.0588,0.9181,1195.0,25.0,0.8436,0.5292,8328.0,19032.0,10640.0,0.8993,1200.0,11682.0,11682.0,4886.0,4886.0
Alabama,2016,14.0,1.0,0.0,100663,12047.0,0.5786,0.2626,0.0309,0.0598,0.5814,1125.0,25.0,0.8161,0.5309,8040.0,18368.0,10517.0,0.8918,1200.0,11682.0,11682.0,4886.0,4886.0
Alabama,2015,14.0,1.0,0.0,100663,11269.0,0.5863,0.2541,0.0317,0.0595,0.6043,1147.0,25.0,0.7864,0.5462,7766.0,17654.0,10221.0,0.9081,1200.0,10809.0,10809.0,4886.0,4886.0
Alabama,2014,12.0,2.0,0.0,100663,11383.0,0.5922,0.26,0.0283,0.0518,0.8569,1107.0,24.0,0.8288,0.5554,7510.0,17062.0,9957.0,0.9072,1200.0,10809.0,10809.0,4886.0,4886.0
Alabama,2013,11.0,2.0,0.0,100663,11200.0,0.5987,0.259,0.0258,0.0518,0.8673,1146.0,25.0,0.8016,0.5377,7206.0,16398.0,10170.0,0.9106,1000.0,9914.0,9914.0,4375.0,4375.0
